----------------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                                  Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
----------------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    aten::scaled_dot_product_attention         0.11%     200.586us         2.88%       5.427ms     301.487us       0.000us         0.00%     106.080ms       5.893ms            18  
                              aten::_scaled_dot_product_attention_math         0.16%     299.152us         2.39%       4.494ms     249.655us       0.000us         0.00%     105.978ms       5.888ms            18  
                                                           aten::copy_         2.62%       4.925ms        38.88%      73.185ms      50.507us      50.251ms        23.92%      50.267ms      34.691us          1449  
                                                           aten::clone         0.20%     371.123us         1.86%       3.504ms      12.834us       0.000us         0.00%      37.556ms     137.568us           273  
                                                          aten::matmul         0.85%       1.595ms         7.31%      13.754ms      23.038us       0.000us         0.00%      37.545ms      62.889us           597  
void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_...         0.00%       0.000us         0.00%       0.000us       0.000us      36.711ms        17.47%      36.711ms     764.816us            48  
                                               aten::repeat_interleave         0.06%     107.688us         0.35%     663.584us      18.433us       0.000us         0.00%      36.693ms       1.019ms            36  
                                                             aten::mul         2.41%       4.543ms         3.91%       7.369ms       8.243us      31.607ms        15.04%      31.607ms      35.355us           894  
void at::native::vectorized_elementwise_kernel<4, at::native::AUnar...         0.00%       0.000us         0.00%       0.000us       0.000us      29.717ms        14.14%      29.717ms     707.555us            42  
                                                             aten::bmm         0.34%     631.215us         0.42%     793.840us      20.355us      28.915ms        13.76%      28.915ms     741.421us            39  
                                                           aten::index         0.83%       1.559ms         1.32%       2.485ms      16.903us      28.378ms        13.51%      28.378ms     193.050us           147  
                                                FusedRecurrentFunction         3.04%       5.718ms         3.46%       6.515ms     120.657us      24.518ms        11.67%      24.518ms     454.038us            54  
                           fused_recurrent_gated_delta_rule_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      24.518ms        11.67%      24.518ms     454.038us            54  
                                                      aten::index_put_         0.10%     182.876us         1.22%       2.296ms      15.620us       0.000us         0.00%      22.285ms     151.596us           147  
                                                aten::_index_put_impl_         0.64%       1.203ms         1.12%       2.113ms      14.376us      22.285ms        10.61%      22.285ms     151.596us           147  
void at::native::index_elementwise_kernel<128, 4, at::native::gpu_i...         0.00%       0.000us         0.00%       0.000us       0.000us      21.477ms        10.22%      21.477ms     397.724us            54  
void at::native::index_elementwise_kernel<128, 4, at::native::gpu_i...         0.00%       0.000us         0.00%       0.000us       0.000us      19.966ms         9.50%      19.966ms     369.735us            54  
void gemv2T_kernel_val<int, int, float, float, float, float, 128, 1...         0.00%       0.000us         0.00%       0.000us       0.000us      15.630ms         7.44%      15.630ms     868.352us            18  
std::enable_if<true, void>::type internal::gemvx::kernel<int, int, ...         0.00%       0.000us         0.00%       0.000us       0.000us      13.280ms         6.32%      13.280ms     737.800us            18  
                                                              aten::to         0.41%     772.505us         8.14%      15.328ms       9.206us       0.000us         0.00%      12.687ms       7.620us          1665  
                                                        aten::_to_copy         1.06%       1.999ms         7.73%      14.556ms      12.635us       0.000us         0.00%      12.687ms      11.013us          1152  
void at::native::unrolled_elementwise_kernel<at::native::direct_cop...         0.00%       0.000us         0.00%       0.000us       0.000us      11.947ms         5.69%      11.947ms      17.314us           690  
                                                             aten::cat         2.59%       4.871ms         6.59%      12.397ms      13.161us      10.279ms         4.89%      10.287ms      10.921us           942  
                                                          aten::linear         0.69%       1.303ms        10.32%      19.418ms      32.689us       0.000us         0.00%       8.897ms      14.978us           594  
void at::native::(anonymous namespace)::CatArrayBatchedCopy_contig<...         0.00%       0.000us         0.00%       0.000us       0.000us       8.825ms         4.20%       8.825ms     245.145us            36  
                                                              aten::mm         3.81%       7.166ms         5.58%      10.498ms      18.813us       8.629ms         4.11%       8.629ms      15.464us           558  
void at::native::index_elementwise_kernel<128, 4, at::native::gpu_i...         0.00%       0.000us         0.00%       0.000us       0.000us       8.400ms         4.00%       8.400ms      93.333us            90  
            ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn         0.00%       0.000us         0.00%       0.000us       0.000us       3.077ms         1.46%       3.077ms      18.991us           162  
            ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x3_tn         0.00%       0.000us         0.00%       0.000us       0.000us       2.237ms         1.06%       2.237ms      15.533us           144  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16...         0.00%       0.000us         0.00%       0.000us       0.000us       1.772ms         0.84%       1.772ms      29.528us            60  
----------------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 188.236ms
Self CUDA time total: 210.106ms
